index,field_id,region,crop,start_sev,end_sbor,yield_dif,yield_plan,yield_fact,curr_t1,curr_t2,curr_t3,40_years_t1,40_years_t2,40_years_t3,culture,type_by_season,delta_t1,delta_t2,delta_t3
5654,2024 46.22.05.002.00,Курск,Соя,2024-05-06,2024-08-30,1.6268848260378208,2.5,10.22,9.672222222222224,19.30212765957447,20.36538461538461,13.413794790725683,18.345137616126618,19.448266950662592,Бобовые,Яровая,-3.741572568503459,0.9569900434478527,0.9171176647220172
5655,2024 46.22.06.051.00,Курск,Кукуруза,2024-05-06,2024-09-26,0.5306282510621704,8.1,5.67,10.50909090909091,20.42586206896552,18.339062500000004,13.861877925597437,19.02221577226688,16.828013320470227,Судецветные,Яровая,-3.352787016506527,1.4036462966986427,1.5110491795297776
5656,2024 46.22.06.052.00,Курск,Кукуруза,2024-05-06,2024-09-26,0.9854481988680208,8.1,13.6,10.50909090909091,20.42586206896552,18.339062500000004,13.861877925597437,19.02221577226688,16.828013320470227,Судецветные,Яровая,-3.352787016506527,1.4036462966986427,1.5110491795297776
5657,2024 46.28.05.006.00,Курск,Соя,2024-05-06,2024-09-15,1.8418186691007918,2.5,13.27,9.7,20.35185185185185,19.335593220338986,13.40806571815718,18.92210746858851,17.944312568945904,Бобовые,Яровая,-3.7080657181571812,1.4297443832633405,1.3912806513930818
5658,2024 46.28.05.061.00,Курск,Соя,2024-05-06,2024-09-13,1.569448904217737,2.5,9.51,9.7,20.2811320754717,19.38448275862069,13.40806571815718,18.904034024599618,18.07691565921509,Бобовые,Яровая,-3.7080657181571812,1.3770980508720818,1.307567099405599
5659,2024 46.28.05.062.00,Курск,Соя,2024-05-06,2024-09-19,1.9662728435741978,2.5,15.36,10.11904761904762,20.40545454545455,19.21803278688525,13.657681636340172,18.939134086042746,17.68807437386727,Бобовые,Яровая,-3.5386340172925514,1.4663204594118042,1.5299584130179795
5660,2024 46.28.11.013.00,Курск,Соя,2024-05-06,2024-09-20,2.1348762485679367,2.5,18.64,10.11904761904762,20.40545454545455,19.15967741935484,13.657681636340172,18.939134086042746,17.643105432353284,Бобовые,Яровая,-3.5386340172925514,1.4663204594118042,1.516571987001555
5661,2024 46.28.17.015.10,Курск,Соя,2024-05-06,2024-09-13,0.535961597037533,1.1,0.78,9.7,20.2811320754717,19.38448275862069,13.40806571815718,18.904034024599618,18.07691565921509,Бобовые,Яровая,-3.7080657181571812,1.3770980508720818,1.307567099405599
5663,2024 54.28.09.014.00,Новосибирск,Пшеница,2024-05-06,2024-10-14,1.3250836300749942,4.0,11.05,10.016000000000002,21.06923076923077,16.24583333333333,13.965672086720865,19.384628390996696,14.30285447064983,Злаковые,Яровая,-3.949672086720863,1.684602378234075,1.9429788626834998
5664,2024 62.01.03.001.00,Рязань,Соя,2024-05-06,2024-09-19,0.5956918444092323,2.1,1.71,10.11904761904762,20.40545454545455,19.21803278688525,13.657681636340172,18.939134086042746,17.68807437386727,Бобовые,Яровая,-3.5386340172925514,1.4663204594118042,1.5299584130179795
