field,region,land_type,fertility_score,season,crop,crop_predecessor,area,hybrid,seed_origin,technology,yield_plan,p2o5,k2o,humus,ph,soil,key,yield_plan_full
40.22.09.040.00,Калуга,пашня,0.0,2024,"Залежь, лес","Залежь, лес",25.66,Макс,Покупные,классическая с плугом,2.0,0.0,0.0,0.0,0.0,Дерново-подзолистые,"(2024, '40.22.09.040.00')",1.0
40.22.09.041.00,Калуга,пашня,3.0,2024,Кукуруза силос,"Залежь, лес",9.72,Северина,Покупные,классическая с плугом,8.2,0.0,0.0,0.0,0.0,Дерново-подзолистые,"(2024, '40.22.09.041.00')",0.25
62.17.01.001.00,Рязань,пашня,4.0,2024,Яр.пшеница мягкая,"Залежь, лес",273.96,Ликамеро,Свои,минимальная,3.9,6.6,85.8,5.61,8.8,Серые лесные,"(2024, '62.17.01.001.00')",1.0
62.17.01.002.00,Рязань,пашня,4.0,2024,Соя,"Залежь, лес",104.14,Альта,Свои,минимальная,1.9,5.83,220.0,5.61,6.16,Серые лесные,"(2024, '62.17.01.002.00')",0.5
62.17.01.003.00,Рязань,пашня,4.0,2024,Яр.пшеница мягкая,"Залежь, лес",7.66,Ликамеро,Свои,минимальная,3.9,6.27,225.5,8.43,6.49,Серые лесные,"(2024, '62.17.01.003.00')",0.25
62.17.01.004.00,Рязань,пашня,4.0,2024,Яр.пшеница мягкая,"Залежь, лес",12.66,Ликамеро,Свои,минимальная,3.9,6.16,104.5,13.93,7.7,Серые лесные,"(2024, '62.17.01.004.00')",0.25
62.17.01.005.00,Рязань,пашня,4.0,2024,Яр.пшеница мягкая,"Залежь, лес",31.49,Ликамеро,Свои,минимальная,3.9,6.16,147.4,34.64,7.26,Серые лесные,"(2024, '62.17.01.005.00')",0.5
62.17.01.006.00,Рязань,пашня,4.0,2024,Яр.пшеница мягкая,"Залежь, лес",11.39,Ликамеро,Свои,минимальная,3.9,6.16,82.5,12.53,6.05,Серые лесные,"(2024, '62.17.01.006.00')",0.25
62.17.01.007.00,Рязань,пашня,4.0,2024,Яр.пшеница мягкая,"Залежь, лес",182.85,Ликамеро,Свои,минимальная,3.9,7.15,92.4,5.61,7.92,Серые лесные,"(2024, '62.17.01.007.00')",1.0
62.17.01.008.00,Рязань,пашня,4.0,2024,Яр.пшеница мягкая,"Залежь, лес",200.62,Ликамеро,Свои,минимальная,3.9,5.5,106.7,5.61,5.83,Серые лесные,"(2024, '62.17.01.008.00')",1.0
