,field_id,region,crop,end_sev,end_sbor,yield_dif,yield_plan,yield_fact,curr_t1,curr_t2,curr_t3,curr_t4,40_years_t1,40_years_t2,40_years_t3,40_years_t4
3151,2023 40.22.01.060.00,Калуга,Кукуруза силос,2023-05-20,2023-10-24,0.5228758169934641,7.65,4.0,17.920512820512823,21.394871794871793,17.5,11.471794871794868,17.839896463067195,20.18558826413623,16.73290434527612,9.592784017841637
3152,2023 40.22.01.066.00,Калуга,Кукуруза силос,2023-05-20,2023-10-07,2.143790849673203,7.65,16.400000000000002,18.154285714285717,20.89428571428571,19.302857142857142,14.188571428571427,17.522922957801008,20.399343357273285,18.38895595766022,12.442823173863399
3153,2023 40.22.04.001.00,Калуга,Кукуруза силос,2023-05-20,2023-10-11,3.0013071895424837,7.65,22.96,18.00277777777778,20.95,19.233333333333338,13.469444444444441,17.55758431195423,20.381038803009965,18.101623471332562,11.467785402773698
3154,2023 40.22.08.023.00,Калуга,Кукуруза силос,2023-05-20,2023-10-14,0.7215686274509803,7.65,5.52,17.91621621621622,21.067567567567565,18.86486486486487,12.545945945945942,17.6680912619937,20.267814360154137,17.69514511046523,10.731985372478267
3155,2023 40.22.09.009.00,Калуга,Кукуруза силос,2023-05-20,2023-10-15,1.6431372549019607,7.65,12.57,17.91621621621622,21.067567567567565,18.86486486486487,12.545945945945942,17.6680912619937,20.267814360154137,17.69514511046523,10.731985372478267
3156,2023 40.22.09.013.01,Калуга,Кукуруза силос,2023-05-20,2023-10-07,1.7241830065359478,7.65,13.190000000000001,18.154285714285717,20.89428571428571,19.302857142857142,14.188571428571427,17.522922957801008,20.399343357273285,18.38895595766022,12.442823173863399
3157,2023 40.22.09.016.00,Калуга,Кукуруза силос,2023-05-20,2023-09-29,1.0274509803921568,7.65,7.86,18.46060606060606,20.206060606060603,20.651515151515152,14.515151515151516,17.22276012154061,20.468357976856737,19.400613087639137,13.371047999481545
3158,2023 40.22.13.004.01,Калуга,Кукуруза силос,2023-05-20,2023-10-21,7.992156862745098,7.65,61.14,17.942105263157895,21.16315789473684,18.221052631578953,12.113157894736839,17.73131864213379,20.234153969418372,17.264709866018404,10.15321018701451
3159,2023 40.22.13.004.02,Калуга,Кукуруза силос,2023-05-20,2023-10-21,9.955555555555554,7.65,76.16,17.942105263157895,21.16315789473684,18.221052631578953,12.113157894736839,17.73131864213379,20.234153969418372,17.264709866018404,10.15321018701451
3160,2023 40.22.13.023.00,Калуга,Кукуруза силос,2023-05-31,2023-10-21,13.792156862745097,7.65,105.50999999999999,17.386111111111113,21.233333333333338,16.13333333333333,10.76944444444444,18.666284628124053,20.39397336454671,16.2903107121349,8.682111399396913
